neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000213;402150363;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x25 verzinkt;";0.0.610.71;;-;-;
110000214;402150364;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x30 verzinkt;";8.0.009.25;;-;-;
110000215;402150365;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x40 verzinkt;";0.0.607.99;;-;-;
110000216;402150366;"Zylinderschraube DIN EN;ISO4762 mit innensechskant;M8x50 verzinkt;";8.0.004.82;;-;-;
110000217;402150367;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x60 verzinkt;";8.0.006.36;;-;-;
110000218;402150368;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x70 verzinkt;";0.0.655.16;;-;-;
110000219;402150369;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x80 verzinkt;";8.0.008.46;;-;-;
110000220;402150370;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x100 verzinkt;";8.0.004.67;;-;-;
110000221;402150371;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M8x180 verzinkt;";8.0.008.88;;-;-;
110000222;402150372;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x16 verzinkt;";0.0.655.55;;-;-;
110000223;402150373;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x18 verzinkt;";0.0.655.56;;-;-;
110000224;402150374;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x20 verzinkt;";0.0.655.57;;-;-;
110000225;402150375;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x25 verzinkt;";0.0.655.58;;-;-;
110000226;402150376;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x30 verzinkt;";8.0.007.95;;-;-;
110000227;402150377;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x35 verzinkt;";0.0.655.59;;-;-;
110000228;402150378;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x40 verzinkt;";0.0.655.60;;-;-;
110000229;402150379;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x45 verzinkt;";0.0.655.61;;-;-;
110000230;402150380;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x50 verzinkt;";0.0.655.62;;-;-;
110000231;402150381;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x60 verzinkt;";8.0.003.98;;-;-;
110000232;402150382;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x70 verzinkt;";0.0.655.63;;-;-;
110000233;402150383;"Zylinderschraube;Innensechskant 8.8 M10x80;verzinkt DIN4762;";0.0.655.64;;-;-;
110000234;402150384;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x100 verzinkt;";8.0.004.47;;-;-;
110000235;402150385;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M10x140 verzinkt;";8.0.004.50;;-;-;
110000236;402150386;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x20 verzinkt;";0.0.655.66;;-;-;
110000237;402150387;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x25 verzinkt;";8.0.007.84;;-;-;
110000238;402150388;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x30 verzinkt;";0.0.655.68;;-;-;
110000239;402150389;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x35 verzinkt;";0.0.655.69;;-;-;
110000240;402150390;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x45 verzinkt;";0.0.655.71;;-;-;
110000241;402150391;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x50 verzinkt;";0.0.655.72;;-;-;
110000242;402150392;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x60 verzinkt;";8.0.008.54;;-;-;
110000243;402150393;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x70 verzinkt;";0.0.655.74;;-;-;
110000244;402150394;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x80 verzinkt;";0.0.655.75;;-;-;
110000245;402150395;"Zylinderschraube DIN EN;ISO4762 mit Innensechskant;M12x100 verzinkt ( DIN 912 );";0.0.655.76;;-;-;
110000246;402150400;"Zylinderschraube mit;Innensechskant DIN7984 M12x40;Material: Stahl verzinkt;";;;;;
110000247;402150450;"Zylinderschraube DIN 7984;M6x14 Innensechskant,;niedriger Kopf 8.8 galv.;verzinkt";;;;;
110000248;402150451;"Zylinderschraube DIN 7984;M6x18 Innensechskant,;niedriger Kopf 8.8 galv.;verzinkt";;;;;
110000249;402150452;"Zylinderschraube DIN7984 M8x30;Innensechskant, niedriger Kopf;8.8 galv. verzinkt;";;;;;
110000250;402150453;"Zylinderschraube DIN 7984;M12x40 Innensechskant,;niedriger Kopf 8.8 schwarz;blank";;;;;
110000251;402259800;"Kunststoff-Doppel-Lenkrolle;DM75 Rad mit thermoplastischem;Polyurethan Laufbelag, mit;Polyamid Radkörper";0.0.605.45;;-;-;
110000252;402259801;"Kunststoff-Doppel-Lenkrolle;DM75 Rad mit thermoplastischem;Polyurethan Laufbelag, mit;Polyamid Radkörper elektrisch";0.0.605.45;;-;-;
110000253;402259802;"Kunststoff-Doppel-Lenkrolle;DM75 mit Radfeststeller;""""""Radstop"""" Rad mit"";thermoplastischem Polyurethan";0.0.605.46;;-;-;
